Column,Category
S3) Someone sends you a meme — How do you respond?,BRAIN
S4) You're late replying by a day — What do you say when you return?,BRAIN
S5) You disagree with a friendly take — How do you phrase your pushback?,BRAIN
A1) Age (exact number),BRAIN
A2) Pronouns (optional),BRAIN
"A2b) If self-describe, write pronouns (short)",BRAIN
B1) Max flirt intensity you're comfortable with,BRAIN
B2) Teasing styles you enjoy (pick up to 2),BRAIN
B3) Off-limits for teasing (HARD NOs; comma-separated),BRAIN
B4) Public flirting,BRAIN
B5) Escalation rule when it's going well,BRAIN
C1) Typical reply latency (in flirty chats),BRAIN
C2) Double-text rule,BRAIN
C3) Seen/read handling,BRAIN
D1) Opener archetypes you actually use (pick 2),BRAIN
"D2a) Opener fill-in (day-rating): add your tag (e.g., 'no decimals :)')",BRAIN
D2b) Opener fill-in (playful curiosity): What’s the most __ thing you did today? (fill __),BRAIN
D3) Compliment style you prefer to give (pick 2),BRAIN
D4) How you usually receive compliments,BRAIN
D5) Pet names allowed (optional; comma-separated),BRAIN
D6) Pet names banned (optional; comma-separated),BRAIN
E1) Current obsessions (3–5; comma-separated),BRAIN
E2) Fun hot-takes (3–5; comma-separated),BRAIN
E3) Favorite low-stakes debate topics (3; comma-separated),BRAIN
E4) Recurring life loops you reference (2–4; comma-separated),BRAIN
E5) Inside-joke seeds you're happy to reuse (3 micro one-liners; comma-separated),BRAIN
F1) Invite tone you tend to use,PROMPT
F2) Accepting plans — your default short phrase (exact words),BRAIN
F3) Declining plans — polite line + alternative (exact words),BRAIN
F4) Micro-date options you like (pick up to 3),BRAIN
F5) Stop-flirt cues you respect,BRAIN
G1) Over-tease repair — your exact line,BRAIN
G2) Vibe stalled — your go-to restart approach (pick 1),BRAIN
G2b) Optional — a quick restart line you'd actually send,BRAIN
G3) If you're wrong — apology line (own-it style; exact words),BRAIN
G4) Misread flirt as friendly — de-escalation line (exact words),BRAIN
G5) Last-minute cancel — your default response style,BRAIN
G5b) Optional — exact wording you'd use,BRAIN
H1) Intent in flirty chats,BRAIN
H2) Pace preference,BRAIN
H3) What makes texting feel meaningful (pick 2),BRAIN
H4) Hard stops (romance) — comma-separated,BRAIN
I1) How you show affection in text (pick 2),BRAIN
I2) What you like to receive (pick 2),BRAIN
I3) Favorite affirming phrases you actually use (2; comma-separated),BRAIN
J1) Comfort sharing personal feelings,BRAIN
J2) Topics okay to get deeper on (pick 2),BRAIN
J3) First vulnerable line you'd actually send (exact words),BRAIN
"J4) After you share, preferred response from them",BRAIN
K1) Public displays in comments,BRAIN
K2) Exclusivity cues you'd send if interested (pick 2),BRAIN
K3) Jealousy boundaries — what NOT to do (comma-separated),BRAIN
L1) Low-energy day text style,PROMPT
L2) Busy streak handling,BRAIN
L3) Comfort message you like to receive on rough days (exact words),BRAIN
L4) Your go-to low-energy sign-off (exact words),PROMPT
M1) Nickname you like being called (short),BRAIN
"M2) Tiny favorites for cute callbacks (3; comma-separated: snack, drink, song/artist)",BRAIN
M3) Little dates you reference (2; comma-separated),BRAIN
M4) Anniversary/birthday sensitivity,BRAIN
"N1) If tension rises, you prefer",BRAIN
N2) Your soft name-the-feeling line (exact words),BRAIN
N3) Repair signature (how you reconnect),BRAIN
O1) Flirt escalation consent rule,BRAIN
O2) Your exact check-in line before escalation (exact words),BRAIN
"O3) After a spicy moment, your aftercare text (exact words)",BRAIN
